<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
VNINDEX,20010103,210.56,210.56,210.56,210.56,4290
VNINDEX,20010105,214.32,214.32,214.32,214.32,5020
VNINDEX,20010108,218.12,218.12,218.12,218.12,7150
VNINDEX,20010110,222.15,222.15,222.15,222.15,18380
VNINDEX,20010112,225.67,225.67,225.67,225.67,22370
VNINDEX,20010115,228.35,228.35,228.35,228.35,12290
VNINDEX,20010117,232.68,232.68,232.68,232.68,8740
VNINDEX,20010119,236.97,236.97,236.97,236.97,4260
VNINDEX,20010129,241.36,241.36,241.36,241.36,900
VNINDEX,20010131,245.80,245.80,245.80,245.80,670
VNINDEX,20010202,250.23,250.23,250.23,250.23,2330
VNINDEX,20010205,254.96,254.96,254.96,254.96,220
VNINDEX,20010207,259.93,259.93,259.93,259.93,840
VNINDEX,20010209,260.15,260.15,260.15,260.15,31400
VNINDEX,20010212,256.18,256.18,256.18,256.18,13010
VNINDEX,20010214,252.21,252.21,252.21,252.21,7800
VNINDEX,20010216,248.98,248.98,248.98,248.98,4340
VNINDEX,20010219,245.99,245.99,245.99,245.99,3480
VNINDEX,20010221,246.75,246.75,246.75,246.75,24000
VNINDEX,20010223,251.22,251.22,251.22,251.22,15520
VNINDEX,20010226,255.61,255.61,255.61,255.61,9660
VNINDEX,20010228,252.40,252.40,252.40,252.40,29280
VNINDEX,20010302,253.64,253.64,253.64,253.64,20740
VNINDEX,20010305,250.73,250.73,250.73,250.73,16560
VNINDEX,20010307,248.05,248.05,248.05,248.05,19990
VNINDEX,20010309,252.61,252.61,252.61,252.61,11830
VNINDEX,20010312,255.99,255.99,255.99,255.99,12130
VNINDEX,20010314,257.70,257.70,257.70,257.70,14390
VNINDEX,20010316,258.52,258.52,258.52,258.52,10150
VNINDEX,20010319,260.29,260.29,260.29,260.29,17950
VNINDEX,20010321,261.11,261.11,261.11,261.11,8350
VNINDEX,20010323,259.60,259.60,259.60,259.60,13450
VNINDEX,20010326,260.11,260.11,260.11,260.11,7620
VNINDEX,20010328,264.70,264.70,264.70,264.70,8870
VNINDEX,20010330,269.30,269.30,269.30,269.30,4410
VNINDEX,20010402,274.43,274.43,274.43,274.43,13950
VNINDEX,20010404,279.56,279.56,279.56,279.56,5530
VNINDEX,20010406,284.69,284.69,284.69,284.69,3230
VNINDEX,20010409,289.82,289.82,289.82,289.82,9650
VNINDEX,20010411,295.09,295.09,295.09,295.09,9780
VNINDEX,20010413,300.36,300.36,300.36,300.36,6580
VNINDEX,20010416,306.16,306.16,306.16,306.16,4230
VNINDEX,20010418,311.96,311.96,311.96,311.96,5700
VNINDEX,20010420,317.76,317.76,317.76,317.76,12200
VNINDEX,20010423,313.74,313.74,313.74,313.74,31960
VNINDEX,20010425,315.27,315.27,315.27,315.27,41230
VNINDEX,20010427,321.07,321.07,321.07,321.07,4850
VNINDEX,20010502,327.13,327.13,327.13,327.13,4220
VNINDEX,20010504,332.00,332.00,332.00,332.00,10470
VNINDEX,20010507,338.35,338.35,338.35,338.35,6400
VNINDEX,20010509,344.47,344.47,344.47,344.47,16040
VNINDEX,20010511,351.06,351.06,351.06,351.06,2320
VNINDEX,20010514,357.65,357.65,357.65,357.65,1970
VNINDEX,20010516,364.27,364.27,364.27,364.27,2310
VNINDEX,20010518,370.90,370.90,370.90,370.90,5520
VNINDEX,20010521,377.43,377.43,377.43,377.43,5210
VNINDEX,20010523,384.16,384.16,384.16,384.16,22910
VNINDEX,20010525,390.88,390.88,390.88,390.88,8250
VNINDEX,20010528,397.50,397.50,397.50,397.50,3170
VNINDEX,20010530,404.26,404.26,404.26,404.26,1430
VNINDEX,20010601,411.03,411.03,411.03,411.03,1610
VNINDEX,20010604,417.79,417.79,417.79,417.79,2160
VNINDEX,20010606,424.56,424.56,424.56,424.56,2400
VNINDEX,20010608,426.58,426.58,426.58,426.58,19320
VNINDEX,20010611,428.02,428.02,428.02,428.02,42430
VNINDEX,20010613,456.18,456.18,456.18,456.18,12230
VNINDEX,20010615,486.34,486.34,486.34,486.34,7370
VNINDEX,20010618,518.62,518.62,518.62,518.62,15990
VNINDEX,20010620,553.56,553.56,553.56,553.56,14100
VNINDEX,20010622,563.00,563.00,563.00,563.00,29380
VNINDEX,20010625,571.04,571.04,571.04,571.04,26810
VNINDEX,20010627,531.93,531.93,531.93,531.93,7970
VNINDEX,20010629,500.28,500.28,500.28,500.28,11840
VNINDEX,20010702,491.17,491.17,491.17,491.17,18120
VNINDEX,20010704,512.80,512.80,512.80,512.80,26830
VNINDEX,20010706,502.93,502.93,502.93,502.93,22340
VNINDEX,20010709,470.83,470.83,470.83,470.83,10880
VNINDEX,20010711,436.13,436.13,436.13,436.13,9250
VNINDEX,20010713,416.46,416.46,416.46,416.46,16900
VNINDEX,20010716,411.43,411.43,411.43,411.43,12150
VNINDEX,20010718,438.12,438.12,438.12,438.12,9890
VNINDEX,20010720,466.67,466.67,466.67,466.67,5660
VNINDEX,20010723,438.33,438.33,438.33,438.33,27480
VNINDEX,20010725,450.87,450.87,450.87,450.87,14230
VNINDEX,20010727,445.37,445.37,445.37,445.37,9670
VNINDEX,20010730,422.46,422.46,422.46,422.46,10020
VNINDEX,20010801,395.63,395.63,395.63,395.63,12100
VNINDEX,20010803,371.76,371.76,371.76,371.76,6420
VNINDEX,20010806,350.69,350.69,350.69,350.69,7590
VNINDEX,20010808,373.63,373.63,373.63,373.63,26080
VNINDEX,20010810,394.18,394.18,394.18,394.18,21280
VNINDEX,20010813,368.34,368.34,368.34,368.34,12860
VNINDEX,20010815,344.31,344.31,344.31,344.31,7160
VNINDEX,20010817,321.83,321.83,321.83,321.83,18400
VNINDEX,20010820,302.25,302.25,302.25,302.25,19870
VNINDEX,20010822,320.98,320.98,320.98,320.98,16180
VNINDEX,20010824,300.03,300.03,300.03,300.03,15330
